CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Account_Opening_Duration,Product_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total _Amount _Of_Transactions,Number_Of_Transactions,Avg_Utilization_Ratio
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1," $12,691.00 ", $777.00 ," $11,914.00 ",1144,42,0.061
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1," $8,256.00 ", $864.00 ," $7,392.00 ",1291,33,0.105
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1," $4,010.00 "," $1,247.00 "," $2,763.00 ",1088,24,0.311
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2," $22,352.00 "," $2,517.00 "," $19,835.00 ",1350,24,0.113
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3," $11,656.00 "," $1,677.00 "," $9,979.00 ",1441,32,0.144
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2," $2,436.00 ", $680.00 ," $1,756.00 ",1570,29,0.279
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2," $30,367.00 "," $2,362.00 "," $28,005.00 ",1671,27,0.078
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2," $3,193.00 "," $2,517.00 ", $676.00 ,1336,30,0.788
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2," $20,979.00 "," $1,800.00 "," $19,179.00 ",1178,27,0.086
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2," $4,470.00 ", $680.00 ," $3,790.00 ",931,18,0.152
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1," $7,768.00 "," $1,669.00 "," $6,099.00 ",1051,22,0.215
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0," $4,785.00 "," $1,362.00 "," $3,423.00 ",1045,38,0.285
